#group,false,false,false,false,false,true,false,false
#datatype,string,long,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string
#default,_result,,,,,,,
,result,table,_field,_start,_stop,_time,_value,equipmentId
,,0,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T16:00:00Z,0.2524692909205585,122937
,,0,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T16:00:00Z,120,122937
,,1,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T17:00:00Z,0.24914686763392976,122937
,,1,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T17:00:00Z,120,122937
,,2,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T18:00:00Z,0.25296746646250406,122937
,,2,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T18:00:00Z,120,122937
,,3,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T19:00:00Z,0.2535184413081063,122937
,,3,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T19:00:00Z,120,122937
,,4,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T20:00:00Z,0.25163652763953315,122937
,,4,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T20:00:00Z,120,122937
,,5,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T21:00:00Z,0.2506681628501892,122937
,,5,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T21:00:00Z,120,122937
,,6,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T22:00:00Z,0.2465505957712555,122937
,,6,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T22:00:00Z,120,122937
,,7,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T23:00:00Z,0.25209721813465963,122937
,,7,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-03T23:00:00Z,120,122937
,,8,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T00:00:00Z,0.2485817805930074,122937
,,8,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T00:00:00Z,119,122937
,,9,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T01:00:00Z,0.2516353034624693,122937
,,9,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T01:00:00Z,120,122937
,,10,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T02:00:00Z,0.25158696622084725,122937
,,10,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T02:00:00Z,120,122937
,,11,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T03:00:00Z,0.2495086532755958,122937
,,11,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T03:00:00Z,120,122937
,,12,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T04:00:00Z,0.25242975771939596,122937
,,12,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T04:00:00Z,120,122937
,,13,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T05:00:00Z,0.25099183570317585,122937
,,13,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T05:00:00Z,120,122937
,,14,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T06:00:00Z,0.2520899729698012,122937
,,14,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T06:00:00Z,120,122937
,,15,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-04T07:00:00Z,0.25152125656849755,122937
